Round,Table,Players,Decks,Winner
Round 2,38,"taiyu kato
Gaku Oohashi","Golgari Aggro
Selesnya Landfall",Gaku Oohashi won 2-0-0
Round 2,39,"Miyanishi Makoto He/Him
takahiro yamaguchi","Izzet Prowess
Izzet Lessons",takahiro yamaguchi won 2-1-0
Round 2,40,"Toru Yanagisaka
Yuusuke Ooyama","Dimir Combo
Izzet Elementals",Yuusuke Ooyama won 2-1-0
Round 2,41,"LiDuoyan
Ryota Ishikawa","Azorius Blink
Selesnya Landfall",LiDuoyan won 2-1-0
Round 2,42,"Masataka Hori
XU BAOZHONG","Selesnya Ouroboroid
Jeskai Aggro",Masataka Hori won 2-0-0
Round 2,43,"Hosokawa Kouta He/Him
Keisuke Komatsu","Bant Rhythm
Izzet Spellementals",Keisuke Komatsu won 2-0-0
Round 2,44,"Hirotaka Kawasaki
Kim Hoyeon He/Him","Selesnya Ouroboroid
Golgari Midrange",Hirotaka Kawasaki won 2-1-0
Round 2,45,"shinichiro watanabe
KatsumataTomoaki","Temur Prowess
Temur Prowess",shinichiro watanabe won 2-1-0
Round 2,46,"Kyle Hitachi He/Him
Takahiro Obara","Sultai Control
Izzet Prowess",Takahiro Obara won 2-1-0
Round 2,47,"Kazuhiro Noine
Kenichiro Omori He/Him","Selesnya Landfall
Izzet Spellementals",Kenichiro Omori won 2-1-0
Round 2,48,"TOYOSHIMAYUMA He/Him
Shinnosuke Hando","Jeskai Artifacts
Selesnya",Shinnosuke Hando won 2-1-0
Round 2,49,"Masahiko Noguchi
TATSURO ASANO","Selesnya Landfall
Izzet Prowess",Masahiko Noguchi won 2-0-0
Round 2,50,"TaeHyoungKim He/Him
HAYATO IGURA","Selesnya Aggro
Selesnya Landfall",HAYATO IGURA won 2-1-0
Round 2,51,"Eisuke Oono He/Him
Shota Miyashita","Selesnya Landfall
Izzet Lessons",Shota Miyashita won 2-0-0
Round 2,52,"Keita Ito
AxeBang","Izzet Prowess
Izzet Elementals",Keita Ito won 2-1-0
Round 2,53,"Toshiya Kanegawa
takuya taniguchi","Selesnya Aggro
Selesnya Landfall",Toshiya Kanegawa won 2-0-0
Round 2,54,"Yosuke Kasagawa
Takato Ueno","Mono-Green Aggro
Temur Prowess",Yosuke Kasagawa won 2-0-0
Round 2,55,"MASAAKI SAKAMOTO
Yuya Mizuno He/Him","Selesnya Midrange
Selesnya Landfall",MASAAKI SAKAMOTO won 2-1-0
Round 2,56,"Ma Noah
ERISON","Selesnya Ouroboroid
Mono-White Tokens",Ma Noah won 2-0-0
Round 2,57,"YUJI KAWABATA He/Him
Pol Uros","Izzet Spellementals
Izzet Spellementals",Pol Uros won 2-1-0
Round 2,58,"Kazuki Kawata He/Him
Shogo Kajita","Jeskai Control
U-B-R-G Reanimator",Shogo Kajita won 2-0-0
Round 2,59,"shohei kiyota
Shinya Saito He/Him","Izzet Prowess
Temur Prowess",shohei kiyota won 2-1-0
Round 2,60,"Taro Takahashi
Shimpo Kosuke","Sultai Control
Izzet Prowess",Shimpo Kosuke won 2-0-0
Round 2,61,"Masayoshi Yoshida
Masaaki Hitomi He/Him","Selesnya Landfall
Selesnya Aggro",Masaaki Hitomi won 2-1-0
Round 2,62,"GonTV He/Him
akira ishikawa","Dimir Excruciator
Selesnya Landfall",akira ishikawa won 2-1-0
Round 2,63,"Kazuki Murata
Hiroaki Kitahara","Dimir Excruciator
Sultai Control",Hiroaki Kitahara won 2-1-0
Round 2,64,"whiteLeghorn He/Him
TakahashiRyoma","Temur Tempo
Golgari Demons",whiteLeghorn won 2-0-0
Round 2,65,"Haruka Ookura
Shintaro Kurata","Selesnya Landfall
Izzet Aggro",Haruka Ookura won 2-0-0
Round 2,66,"Akira Tanaka He/Him
Yosuke Hieda He/They","Izzet Lessons
W-U-B-R Control",Yosuke Hieda won 2-1-0
Round 2,67,"Atsushi Hozuki
Tomohiro Matsumoto He/Him","Selesnya Aggro
Izzet Spellementals",Tomohiro Matsumoto won 2-1-0
Round 2,68,"Yoshiyuki Ogyu
ryuji mimido","Dimir Excruciator
Dimir Demons",ryuji mimido won 2-0-0
Round 2,69,"Tetsuji Yamamoto
HYUNDEOK JANG He/Him","Golgari Midrange
Boros Dragons",Tetsuji Yamamoto won 2-1-0
Round 2,70,"syaka3845
Yosuke Shimizu He/Him","Temur Prowess
Dimir Deceit",syaka3845 won 2-1-0
Round 2,71,"Hojun Yoon
Shunsuke Nose He/Him","Izzet Aggro
Izzet Monument",Shunsuke Nose won 2-0-0
Round 2,72,"ryo kasuga
Tamon","Selesnya Landfall
Dimir Excruciator",Tamon won 2-0-0
Round 2,73,"MiyazakiTakato
Tetsu Kawaguchi","Jeskai Control
W-U-B-R Control",Tetsu Kawaguchi won 2-0-0
Round 2,74,"Kouhei Komiyama He/Him
Hiroki Yamagata","Azorius Flash
Izzet Prowess",Hiroki Yamagata won 2-0-0
Round 2,75,"baronlee
Shigeo Murase","Temur
Jeskai Control",baronlee won 2-1-0
Round 2,76,"SAYAMA TATSUNOSUKE
Tatsuumi KOBAYASHI","Dimir Control
Izzet Spellementals",Tatsuumi KOBAYASHI won 2-0-0
Round 2,77,"KOUSUKE CHINEN
ホリエ トオル He/Him","Izzet Spellementals
Jeskai Control",KOUSUKE CHINEN won 2-1-0
Round 2,78,"MASAO ODA He/Him
Minoru Sato","Mono-Green Landfall
Sultai Combo",MASAO ODA won 2-0-0
Round 2,79,"nakatatsuyoshi
DBAngel","Izzet Prowess
Temur Omniscience",nakatatsuyoshi won 2-0-0
Round 2,80,"naoya okamura He/Him
Kazuya Kiyofuji","Izzet Elementals
Selesnya Landfall",naoya okamura won 2-0-0
Round 2,81,"Yuichiro Maruyama
Atsushi Nakashima","Izzet Spellementals
Jeskai Control",Yuichiro Maruyama won 2-1-0
Round 2,82,"Takashi Inui
Yutaro Tokuyama","Izzet Spellementals
Orzhov Aggro",Takashi Inui won 2-0-0
Round 2,83,"Leo Isogaya
Kosuke Shibazaki","Izzet Lessons
Izzet Aggro",Leo Isogaya won 2-1-0
Round 2,84,"Kazuhito Nobuta
Taisei Nakayama He/Him","Selesnya Landfall
Izzet Prowess",Taisei Nakayama won 2-1-0
Round 2,85,"藤垣 琢矢 He/Him
Kazuaki WATANABE They/Them","Mono-Green Aggro
Selesnya Landfall",藤垣 琢矢 won 2-1-0
Round 2,86,"Masashiro Kuroda He/Him
Go Nakamura He/Him","Izzet Spellementals
Sultai Control",Go Nakamura won 2-1-0
Round 2,87,"Yusuke Sasao He/Him
junpei nakamura","Izzet Elementals
Golgari Midrange",junpei nakamura won 2-1-0
Round 2,88,"彰信 梶谷
Yuuhei Komatsu","Selesnya Landfall
Selesnya Landfall",Yuuhei Komatsu won 2-1-0
Round 2,89,"Shicheng Peng
HarryJPN He/Him","Jeskai Control
Selesnya Landfall",HarryJPN won 2-1-0
Round 2,90,"Shunsuke Kimura He/Him
Atsushi Hasegawa He/Him","Sultai Control
Mono-White Aggro",Atsushi Hasegawa won 2-0-0
Round 2,91,"Koala40
junichi takayama He/Him","Dimir Demons
Izzet Spellementals",junichi takayama won 2-0-0
Round 2,92,"Yuichiro Sasa
LEESHITIAN","Boros Aggro
Dimir Excruciator",Yuichiro Sasa won 2-1-0
Round 2,93,"Takehito Kawakami
toya","Jeskai Control
W-U-B-R Control",Takehito Kawakami won 2-0-0
Round 2,94,"Naoyuki Hashimoto He/Him
Satoshi Mizu","Dimir Excruciator
Izzet Elementals",Satoshi Mizu won 2-1-0
Round 2,95,"Ohashi Toshiyuki
Daichi Takemura Other","Azorius Aggro
Selesnya Ouroboroid",Daichi Takemura won 2-0-0
Round 2,96,"YUKI OTA He/Him
Ryuji Murae","Izzet Control
Izzet Aggro",Ryuji Murae won 2-0-0
Round 2,97,"toru kono
cckew He/Him","Izzet Spellementals
Izzet Spellementals",toru kono won 2-1-0
Round 2,98,"空 大黒
JunSatoX1","Sultai Control
Boros Tokens",JunSatoX1 won 2-0-0
Round 2,99,"tatsuya kadowaki He/Him
Toshiki Okai","Izzet Spellementals
Izzet Prowess",Toshiki Okai won 2-1-0
Round 2,100,"Takahisa Oonishi
itomasayoshi He/Him","Temur Combo
Temur Aggro",Takahisa Oonishi won 2-0-0
Round 2,101,"yamamotoatsushi
Yosuke Oka He/Him","Mono-Green Landfall
Izzet Prowess",Yosuke Oka won 2-1-0
Round 2,102,"showatanabe
SHOGO KONDO","Bant Combo
Izzet Prowess",SHOGO KONDO won 2-1-0
Round 2,103,"MAIMScrubs
Ryosuke Okada He/Him","Selesnya Landfall
Izzet Aggro",MAIMScrubs won 2-1-0
Round 2,104,"Kenta Imai He/Him
Yusuke Ohkawa","Izzet Prowess
Izzet Lessons",Kenta Imai won 2-0-0
Round 2,105,"Katsuki Fukumoto He/Him
Andreas Holmqvist","Selesnya Landfall
Selesnya Landfall",Andreas Holmqvist won 2-1-0
Round 2,106,"Kotaro Takahashi
bbtaka","Selesnya Landfall
Selesnya Aggro",Kotaro Takahashi won 2-1-0
Round 2,107,"TOMOKI EGEYAMA He/Him
grodri1999","Izzet Prowess
Bant Rhythm",grodri1999 won 2-0-0
Round 2,108,"natsuki kitada
Shota Takao","Sultai Control
Selesnya Landfall",Shota Takao won 2-0-0
Round 2,109,"Ryosuke Nishiura He/Him
TimYip","Selesnya Landfall
Izzet",TimYip won 2-1-0
Round 2,110,"Takumi Matsuura
Yuuki Fujii","Izzet Prowess
Azorius Flash",Yuuki Fujii won 2-0-0
Round 2,111,"takayuki denishi Other
HataRyushi","Selesnya Landfall
Temur Aggro",HataRyushi won 2-1-0
Round 2,112,"Takumi Onodera
hirohata","Temur Prowess
Golgari Midrange",Takumi Onodera won 2-0-0
Round 2,113,"IchiwakiFumihiro
john_1_10_taka","Jeskai Control
Izzet Prowess",IchiwakiFumihiro won 2-0-0
Round 2,114,"Ryota Motegi
yasunori yajima He/Him","Mardu
Izzet Midrange",Ryota Motegi won 2-0-0
Round 2,115,"DaichiKo
fukutome masayuki He/Him","Izzet Prowess
Sultai Control",fukutome masayuki won 1-0-0
Round 2,116,"sawada jun He/Him
Yuta Inukai He/Him","Jeskai Control
Selesnya Landfall",Yuta Inukai won 2-1-0
Round 2,117,"takayukikumakura
Dod2gaia He/Him","Dimir Demons
Jeskai Control",Dod2gaia won 2-0-0
Round 2,118,"RuiyuanLu
Ryohei Takezawa He/Him","Dimir Midrange
Izzet Aggro",RuiyuanLu won 2-1-0
Round 2,119,"Akira Yamawaki
Haruka Murano He/They","Azorius Tempo
Dimir Excruciator",Haruka Murano won 2-1-0
Round 2,120,"yasutaka Nagao
Takeshi Ozawa He/Him","W-U-B-R Control
Bant Rhythm",yasutaka Nagao won 2-0-0
Round 2,121,"Hasedaigo
shintarou yoshida He/Him","Izzet Aggro
Jeskai Control",Hasedaigo won 2-0-0
Round 2,122,"John Im He/Him
JUNYA YOSHIKAWA","Izzet
Temur Prowess",John Im won 2-0-0
Round 2,123,"Masayasu
koki hara He/Him","Izzet Elementals
Bant Rhythm",Masayasu won 2-0-0
Round 2,124,"KAZUYOSHI ANAN
Taishi_Tokairin","W-U-B-R Control
Selesnya Landfall",KAZUYOSHI ANAN won 2-0-0
Round 2,125,"Jun Takeuchi He/Him
Shingo Takada He/Him","Izzet Elementals
Izzet Elementals",Shingo Takada won 2-0-0
Round 2,126,"Ryutarou Machida
SHUNICHI NAKASHIMA","Jeskai Control
Selesnya Ouroboroid",Ryutarou Machida won 2-1-0
Round 2,127,"Charles Namchaisiri
Kiho Choi He/Him","Izzet Spellementals
Izzet Prowess",Kiho Choi won 2-0-0
Round 2,128,"Ryo Inazawa He/Him
MAEDA YOSHITAKA He/Him","Selesnya Landfall
Izzet Prowess",Ryo Inazawa won 2-1-0
Round 2,129,"Yukinori Ishibashi
kent kakigi He/Him","Selesnya Landfall
Izzet Spellementals",kent kakigi won 2-1-0
Round 2,130,"Hiroto Ogata
Kyohei Murayama He/Him","Izzet Control
Sultai Control",Kyohei Murayama won 2-1-0
Round 2,131,"Onoda Kenji He/Him
tanono","Izzet Lessons
Mardu Monument",tanono won 2-1-0
Round 2,132,"kyohei fukuyama They/Them
Koki Nakamura","Selesnya
Selesnya Landfall",kyohei fukuyama won 2-1-0
Round 2,133,"Yoshihiro Oohashi He/Him
Takehiro Fujimoto","Jeskai Control
Mono-Red Aggro",Takehiro Fujimoto won 2-1-0
Round 2,134,"Kouta Mochizuki He/Him
Takurou Yamaguchi Other","Temur Prowess
Sultai Control",Kouta Mochizuki won 2-0-0
Round 2,135,"Takeshi Miyawaki He/Him
MASATO YAMADE","Dimir Excruciator
Izzet Spellementals",Takeshi Miyawaki won 2-1-0
Round 2,136,"Horiuchi Makoto
Shunichi Nakajima","Temur Prowess
Izzet Prowess",Shunichi Nakajima won 2-1-0
Round 2,137,"syuhei nakayama
Ryuichi Okayasu","Izzet Prowess
Izzet Prowess",syuhei nakayama won 2-0-0
Round 2,138,"Taiki Kageyama
RYOHEI SUZUKI","Temur Prowess
Mono-Red Aggro",Taiki Kageyama won 2-1-0
Round 2,139,"YOICHI NAGAMI
Masaki Oi","Abzan Control
Izzet Prowess",Masaki Oi won 2-1-0
Round 2,140,"trexdog001
Ryouji Hirokawa","Izzet Control
Dimir Demons",trexdog001 won 2-1-0
Round 2,141,"Satoshi Ishiguro Other
satoshi kuroiwa","Temur Aggro
Temur Prowess",Satoshi Ishiguro won 2-1-0
Round 2,142,"yasuhiro yazu
Takayuki Rita","Selesnya Ouroboroid
Jeskai Control",Takayuki Rita won 2-0-0
Round 2,143,"mcgottsu
RYOUTA SHIMIZU","Mardu Aggro
Izzet Spellementals",mcgottsu won 2-1-0
Round 2,144,"Ryo Ito
Tomoya Tanaka","Jeskai Control
Izzet Prowess",Tomoya Tanaka won 2-1-0
Round 2,145,"TakuroIto
Yuya Minezaki","Selesnya Landfall
Temur Prowess",TakuroIto won 2-1-0
Round 2,146,"Yuki Wada
Kazuaki Kurokawa","Mono-Red Aggro
Izzet Prowess",Kazuaki Kurokawa won 2-1-0
Round 2,147,"Alexander von Stange
IngyunAhn He/Him","Izzet Prowess
Izzet Prowess",IngyunAhn won 2-0-0
Round 2,148,"Masahito Masuda
Chikara Nakajima","Temur Prowess
Mono-Green Landfall",Masahito Masuda won 2-1-0
Round 2,149,"Takuya Yoshimura He/Him
EIJI SOGO","Izzet Control
Mono-Green Landfall",EIJI SOGO won 2-0-0
Round 2,150,"Marei Okamura
Yotaki","Sultai Control
Jeskai Elementals",Marei Okamura won 2-0-0
Round 2,151,"Ryouta Mishina
Mikita Hirano He/Him","Temur Prowess
Izzet Spellementals",Mikita Hirano won 2-1-0
Round 2,152,"takanori watanabe He/Him
sintarou yamada","Selesnya Aggro
Izzet Prowess",sintarou yamada won 2-1-0
Round 2,153,"Hiroki Toyota
Takuto Furukawa","Mono-Green Landfall
Azorius Flash",Hiroki Toyota won 2-1-0
Round 2,154,"Seita Oono
LaturaPK","Selesnya Rhythm
Izzet",LaturaPK won 2-0-0
Round 2,155,"Takahiro Shiraki Other
tsuyoshinakamura","Simic Aggro
Abzan Midrange",tsuyoshinakamura won 2-1-0
Round 2,156,"TASE YUYA Other
YsoHq They/Them","Azorius Aggro
Izzet Prowess",YsoHq won 2-0-0
Round 2,157,"Akinori Fujikura He/Him
HUNG KAIYANG","Izzet Prowess
Boros Aggro",HUNG KAIYANG won 2-0-0
Round 2,158,"Kazushige Shimamura He/Him
Keisuke Sato","Selesnya Landfall
Temur Prowess",Keisuke Sato won 2-1-0
Round 2,159,"yusuke matsubara
Yunan Deng He/Him","Izzet Lessons
Jeskai Artifacts",yusuke matsubara won 2-1-0
Round 2,160,"genki ogino
Takashi Tsunomori He/Him","Izzet Aggro
Golgari Midrange",genki ogino won 2-1-0
Round 2,161,"TatsumasaTAKANO
Reona Shiga","Jeskai Midrange
Temur Aggro",Reona Shiga won 2-1-0
Round 2,162,"yoshio miyake
satoshi hashimoto He/Him","Selesnya Landfall
Bant Midrange",satoshi hashimoto won 2-0-0
Round 2,163,"shun asano He/Him
Takuya Aoki","Sultai Control
Izzet",Takuya Aoki won 2-1-0
Round 2,164,"Keisuke Kirito
takuya yamada He/Him","Izzet Tempo
W-U-B-R Control",takuya yamada won 2-0-0
Round 2,165,"Sangjoon Kong He/Him
aqua haruka#50863 He/Him","Grixis Midrange
Temur Prowess",Sangjoon Kong won 2-1-0
Round 2,166,"kouichi ishiwata
taegyun lim","Bant Rhythm
Grixis Midrange",kouichi ishiwata won 2-1-0
Round 2,167,"ryota takeuchi
Takatomo Tezuka","Boros Aggro
Izzet Prowess",ryota takeuchi won 2-0-0
Round 2,168,"yohei hoshino
Kazuhiro Nakamura","Temur Prowess
Izzet Lessons",yohei hoshino won 2-0-0
Round 2,169,"yuki yamazaki
Kenta Harane He/Him","Boros Aggro
Izzet Otters",Kenta Harane won 2-1-0
Round 2,170,"Joel Hjortness
emotosatoshi","W-U-B-R Control
Temur Prowess",emotosatoshi won 2-1-0
Round 2,171,"HIDEYUKI ICHIKAWA
Syunsuke Nakazima","Izzet Prowess
Jeskai Control",HIDEYUKI ICHIKAWA won 2-1-0
Round 2,172,"NOBUAKI JINBA Other
Shigeki Kimura","Temur Omniscience
Temur Aggro",NOBUAKI JINBA won 2-1-0
Round 2,173,"TAKUYA HASEGAWA
junsei yamaguchi He/Him","Selesnya Landfall
Jeskai Control",TAKUYA HASEGAWA won 2-1-0
Round 2,174,"Koichi Kudo
KENTA KATAGIRI","Selesnya Ouroboroid
Selesnya Rhythm",Koichi Kudo won 2-1-0
Round 2,175,"Hiroaki Itou
Hideaki Teruya","Sultai Control
Izzet Tempo",Hideaki Teruya won 2-0-0
Round 2,176,"Akinori Hishida
tomoya fujimoto He/Him","Selesnya
Selesnya Landfall",Akinori Hishida won 2-0-0
Round 3,1,"Yutaro Morimoto He/Him
whiteLeghorn He/Him","Selesnya Ouroboroid
Temur Tempo",whiteLeghorn won 2-1-0
Round 3,2,"Rei Hirayama
Takashi Inui","Izzet Spellementals
Izzet Spellementals",Rei Hirayama won 2-0-0
Round 3,3,"Shimpo Kosuke
Tomonori Hirami","Izzet Prowess
Azorius Flash",Tomonori Hirami won 2-0-0
Round 3,4,"Tomohiro Matsumoto He/Him
kento shiraki He/Him","Izzet Spellementals
Selesnya Landfall",kento shiraki won 2-1-0
Round 3,5,"Masakuni Hamaguchi
Tomoya Kobayashi","Selesnya Landfall
Izzet Control",Masakuni Hamaguchi won 2-0-0
Round 3,6,"shohei kiyota
RIKI KAMO He/Him","Izzet Prowess
Mono-Green Landfall",shohei kiyota won 2-1-0
Round 3,7,"Pol Uros
Leo Isogaya","Izzet Spellementals
Izzet Lessons",Leo Isogaya won 2-0-0
Round 3,8,"Keita Ito
HAYATO IGURA","Izzet Prowess
Selesnya Landfall",Keita Ito won 2-1-0
Round 3,9,"Masaki Ooura
akira ishikawa","Izzet Prowess
Selesnya Landfall",akira ishikawa won 2-0-0
Round 3,10,"akira uemura He/Him
Hirotaka Kawasaki","Selesnya Landfall
Selesnya Ouroboroid",Hirotaka Kawasaki won 2-0-0
Round 3,11,"Yuya Hosokawa He/Him
takahiro yamaguchi","Jeskai Control
Izzet Lessons",Yuya Hosokawa won 2-1-0
Round 3,12,"Yu Tanaka
naoto yamane","Golgari Control
Selesnya Ouroboroid",Yu Tanaka won 2-0-0
Round 3,13,"Masaaki Hitomi He/Him
Jeongwoo Cho He/Him","Selesnya Aggro
Izzet Prowess",Jeongwoo Cho won 2-1-0
Round 3,14,"Keisuke Komatsu
rintaro honda","Izzet Spellementals
Temur Aggro",Keisuke Komatsu won 2-0-0
Round 3,15,"KOUSUKE CHINEN
Yoshihiko Ikawa He/Him","Izzet Spellementals
Izzet Spellementals",Yoshihiko Ikawa won 2-0-0
Round 3,16,"MASAHIDE MORIYAMA
藤垣 琢矢 He/Him","Izzet Spellementals
Mono-Green Aggro",MASAHIDE MORIYAMA won 2-0-0
Round 3,17,"nakatatsuyoshi
syaka3845","Izzet Prowess
Temur Prowess",syaka3845 won 2-0-0
Round 3,18,"Yuichiro Maruyama
Toshiya Kanegawa","Izzet Spellementals
Selesnya Aggro",Toshiya Kanegawa won 2-0-0
Round 3,19,"Haruka Ookura
Hiroaki Kitahara","Selesnya Landfall
Sultai Control",Hiroaki Kitahara won 2-1-0
Round 3,20,"ReiSakano Other
Keiichiro Matsumoto","Jeskai Control
W-U-B-R Control",ReiSakano won 2-0-0
Round 3,21,"LiDuoyan
Hideki Yoshioka He/Him","Azorius Blink
Azorius Flash",1-1-0 Draw
Round 3,22,"Takahiro Obara
Tetsuji Yamamoto","Izzet Prowess
Golgari Midrange",Takahiro Obara won 2-1-0
Round 3,23,"Go Nakamura He/Him
MASAO ODA He/Him","Sultai Control
Mono-Green Landfall",Go Nakamura won 2-1-0
Round 3,24,"naoya okamura He/Him
Taisei Nakayama He/Him","Izzet Elementals
Izzet Prowess",Taisei Nakayama won 2-1-0
Round 3,25,"Tamon
Hiroki Yamagata","Dimir Excruciator
Izzet Prowess",Hiroki Yamagata won 2-0-0
Round 3,26,"Masahiko Noguchi
Kenji Sego","Selesnya Landfall
Izzet Spellementals",Kenji Sego won 2-1-0
Round 3,27,"Yosuke Hieda He/They
yuuji yoshida","W-U-B-R Control
Temur Aggro",yuuji yoshida won 2-1-0
Round 3,28,"YutaYamada
Tatsuumi KOBAYASHI","Izzet Prowess
Izzet Spellementals",YutaYamada won 2-1-0
Round 3,29,"Gaku Oohashi
Sho Yoshimori He/Him","Selesnya Landfall
Selesnya Landfall",Gaku Oohashi won 2-0-0
Round 3,30,"Hiroaki Taniguchi He/Him
Hiroki Kageyama","Golgari Midrange
Izzet Otters",Hiroaki Taniguchi won 2-1-0
Round 3,31,"Kenya Ishikawa He/Him
Yosuke Kasagawa","Izzet Spellementals
Mono-Green Aggro",Yosuke Kasagawa won 2-0-0
Round 3,32,"Yuta Akamine They/Them
Shunsuke Nose He/Him","Izzet Spellementals
Izzet Monument",Yuta Akamine won 2-0-0
Round 3,33,"Masanari Fukasawa He/Him
Masataka Hori","Selesnya Landfall
Selesnya Ouroboroid",Masataka Hori won 2-0-0
Round 3,34,"YUSUKE NAKAMURA
shinichiro watanabe","Izzet Prowess
Temur Prowess",shinichiro watanabe won 2-1-0
Round 3,35,"KazukiYada
Tetsu Kawaguchi","Temur Prowess
W-U-B-R Control",KazukiYada won 2-1-0
Round 3,36,"Yuusuke Ooyama
Shogo Kajita","Izzet Elementals
U-B-R-G Reanimator",Yuusuke Ooyama won 2-1-0
Round 3,37,"Ma Noah
Keita Tonouchi He/Him","Selesnya Ouroboroid
Selesnya Landfall",Ma Noah won 2-0-0
Round 3,38,"ryuji mimido
Keisuke Naitou","Dimir Demons
Temur Prowess",Keisuke Naitou won 2-0-0
Round 3,39,"hirofumi nakamatsu
baronlee","Temur Aggro
Temur",baronlee won 2-1-0
Round 3,40,"RyosukeHayashi
gohki yokomizo She/Her","Temur Midrange
Dimir Deceit",RyosukeHayashi won 2-1-0
Round 3,41,"Yoshitaka Fujino
Shota Miyashita","Selesnya Aggro
Izzet Lessons",Shota Miyashita won 2-1-0
Round 3,42,"MASAAKI SAKAMOTO
Kenichiro Omori He/Him","Selesnya Midrange
Izzet Spellementals",Kenichiro Omori won 2-0-0
Round 3,43,"Shinnosuke Hando
taiyo ishii He/Him","Selesnya
Izzet",Shinnosuke Hando won 2-1-0
Round 3,44,"HarryJPN He/Him
Yuuhei Komatsu","Selesnya Landfall
Selesnya Landfall",HarryJPN won 2-0-0
Round 3,45,"junpei nakamura
Atsushi Hasegawa He/Him","Golgari Midrange
Mono-White Aggro",junpei nakamura won 2-1-0
Round 3,46,"DBAngel
Satoshi Mizu","Temur Omniscience
Izzet Elementals",Satoshi Mizu won 2-1-0
Round 3,47,"Hosokawa Kouta He/Him
kyohei fukuyama They/Them","Bant Rhythm
Selesnya",Hosokawa Kouta won 2-0-0
Round 3,48,"LaturaPK
MiyazakiTakato","Izzet
Jeskai Control",LaturaPK won 2-0-0
Round 3,49,"IngyunAhn He/Him
kent kakigi He/Him","Izzet Prowess
Izzet Spellementals",IngyunAhn won 2-1-0
Round 3,50,"Hasedaigo
Satoshi Kuraoka","Izzet Aggro
Izzet Spellementals",Hasedaigo won 2-1-0
Round 3,51,"Tomoki Usui He/Him
Kyle Hitachi He/Him","Golgari Midrange
Sultai Control",Tomoki Usui won 2-1-0
Round 3,52,"Ryutarou Machida
Kazuaki WATANABE They/Them","Jeskai Control
Selesnya Landfall",Kazuaki WATANABE won 2-0-0
Round 3,53,"Kotaro Takahashi
Takaaki Okumura He/Him","Selesnya Landfall
Izzet Prowess",Takaaki Okumura won 2-1-0
Round 3,54,"TaeHyoungKim He/Him
Kenta Imai He/Him","Selesnya Aggro
Izzet Prowess",Kenta Imai won 2-1-0
Round 3,55,"Tomoaki Ogasawara
Yosuke Shimizu He/Him","Selesnya Ouroboroid
Dimir Deceit",Yosuke Shimizu won 2-1-0
Round 3,56,"Atsushi Hozuki
emotosatoshi","Selesnya Aggro
Temur Prowess",emotosatoshi won 2-1-0
Round 3,57,"AxeBang
Takeshi Miyawaki He/Him","Izzet Elementals
Dimir Excruciator",Takeshi Miyawaki won 2-1-0
Round 3,58,"HIDENARI IKEDA He/Him
Takayuki Rita","Selesnya Landfall
Jeskai Control",HIDENARI IKEDA won 2-1-0
Round 3,59,"takuya taniguchi
Toru Yanagisaka","Selesnya Landfall
Dimir Combo",takuya taniguchi won 2-0-0
Round 3,60,"Eisuke Oono He/Him
YsoHq They/Them","Selesnya Landfall
Izzet Prowess",YsoHq won 2-0-0
Round 3,61,"Masayoshi Yoshida
Kazuki Murata","Selesnya Landfall
Dimir Excruciator",Masayoshi Yoshida won 2-1-0
Round 3,62,"Takehiro Fujimoto
TakahashiRyoma","Mono-Red Aggro
Golgari Demons",TakahashiRyoma won 2-0-0
Round 3,63,"tanono
Ryota Ishikawa","Mardu Monument
Selesnya Landfall",Ryota Ishikawa won 2-1-0
Round 3,64,"MAKITOYOSHIYAMA
Manato Hosomi He/Him","Temur Aggro
Izzet Aggro",Manato Hosomi won 2-1-0
Round 3,65,"Takuya Aoki
ERISON","Izzet
Mono-White Tokens",Takuya Aoki won 2-0-0
Round 3,66,"Jun Furukawa
Yuichiro Sasa","Izzet Aggro
Boros Aggro",Jun Furukawa won 2-1-0
Round 3,67,"Takahisa Oonishi
sintarou yamada","Temur Combo
Izzet Prowess",sintarou yamada won 2-0-0
Round 3,68,"Kazuhiro Noine
KAZUYOSHI ANAN","Selesnya Landfall
W-U-B-R Control",Kazuhiro Noine won 2-0-0
Round 3,69,"suganumakatuhiro
Shigeo Murase","Grixis Reanimator
Jeskai Control",suganumakatuhiro won 2-1-0
Round 3,70,"fukutome masayuki He/Him
Yuuki Fujii","Sultai Control
Azorius Flash",fukutome masayuki won 2-1-0
Round 3,71,"mcgottsu
Sangjoon Kong He/Him","Mardu Aggro
Grixis Midrange",Sangjoon Kong won 2-1-0
Round 3,72,"Atsuki Kihara He/Him
yoshiki yamashita He/Him","Sultai Control
Izzet Spellementals",yoshiki yamashita won 2-1-0
Round 3,73,"Kazuaki Kurokawa
yasutaka Nagao","Izzet Prowess
W-U-B-R Control",yasutaka Nagao won 2-1-0
Round 3,74,"Ryuji Murae
Toyoharu Mizuno He/Him","Izzet Aggro
Selesnya Landfall",Ryuji Murae won 2-1-0
Round 3,75,"Hiroki Toyota
junichi takayama He/Him","Mono-Green Landfall
Izzet Spellementals",junichi takayama won 2-1-0
Round 3,76,"Takato Ueno
Hojun Yoon","Temur Prowess
Izzet Aggro",Takato Ueno won 2-1-0
Round 3,77,"HIDEYUKI ICHIKAWA
TimYip","Izzet Prowess
Izzet",HIDEYUKI ICHIKAWA won 2-0-0
